-0.108,-0.142,-0.055,1.282,
-0.107,-0.142,-0.064,1.282,
-0.106,-0.142,-0.050,1.282,
-0.106,-0.142,-0.010,1.282,
-0.103,-0.141,-0.034,1.282,
-0.102,-0.140,-0.031,1.282,
-0.101,-0.139,-0.036,1.282,
-0.100,-0.139,-0.023,1.282,
-0.100,-0.139,-0.024,1.281,
-0.101,-0.139,0.013,1.281,
-0.100,-0.138,0.009,1.281,
-0.100,-0.137,0.013,1.281,
-0.101,-0.136,0.010,1.281,
-0.100,-0.135,-0.013,1.280,
-0.099,-0.135,-0.022,1.280,
-0.098,-0.134,-0.017,1.279,
-0.096,-0.132,-0.008,1.279,
-0.095,-0.131,-0.001,1.279,
-0.093,-0.130,0.037,1.278,
-0.089,-0.127,0.020,1.278,
-0.086,-0.125,0.005,1.277,
-0.083,-0.122,0.012,1.277,
-0.080,-0.118,0.010,1.277,
-0.077,-0.116,0.023,1.276,
-0.075,-0.113,0.053,1.276,
-0.072,-0.110,0.056,1.276,
-0.068,-0.107,0.057,1.275,
-0.066,-0.104,0.084,1.275,
-0.063,-0.100,0.090,1.275,
-0.061,-0.096,0.097,1.275,
-0.059,-0.092,0.113,1.276,
-0.056,-0.087,0.101,1.276,
-0.052,-0.083,0.104,1.276,
-0.048,-0.078,0.114,1.276,
-0.042,-0.073,0.093,1.276,
-0.036,-0.069,0.081,1.276,
-0.030,-0.064,0.064,1.276,
-0.025,-0.060,0.070,1.276,
-0.019,-0.056,0.069,1.276,
-0.012,-0.052,0.056,1.276,
-0.006,-0.047,0.071,1.277,
-0.001,-0.042,0.091,1.277,
0.005,-0.034,0.061,1.277,
0.010,-0.028,0.048,1.277,
0.014,-0.021,0.021,1.277,
0.019,-0.014,-0.016,1.277,
0.023,-0.009,-0.019,1.277,
0.027,-0.003,-0.030,1.277,
0.029,0.002,-0.006,1.278,
0.031,0.007,0.007,1.278,
0.033,0.012,0.021,1.278,
0.035,0.017,0.025,1.278,
0.038,0.023,0.007,1.277,
0.039,0.027,0.033,1.277,
0.040,0.032,0.032,1.277,
0.041,0.037,0.007,1.276,
0.041,0.041,0.040,1.274,
0.040,0.044,0.069,1.269,
0.039,0.046,0.083,1.263,
0.038,0.047,0.087,1.255,
0.037,0.047,0.063,1.244,
0.036,0.047,0.058,1.231,
0.034,0.047,0.065,1.216,
0.031,0.047,0.044,1.200,
0.028,0.047,0.029,1.182,
0.024,0.048,0.019,1.163,
0.020,0.047,0.021,1.142,
0.016,0.046,0.001,1.121,
0.012,0.045,-0.019,1.098,
0.008,0.043,-0.015,1.074,
0.004,0.042,0.011,1.049,
0.001,0.041,0.031,1.023,
-0.002,0.039,0.013,0.996,
-0.004,0.038,0.003,0.968,
-0.006,0.037,0.011,0.939,
-0.007,0.037,-0.001,0.909,
-0.007,0.037,0.015,0.878,
-0.005,0.036,0.002,0.847,
-0.001,0.036,0.003,0.815,
0.005,0.035,-0.012,0.783,
0.014,0.035,-0.050,0.751,
0.023,0.034,-0.053,0.719,
0.032,0.035,-0.035,0.687,
0.042,0.036,-0.013,0.656,
0.054,0.038,-0.006,0.625,
0.066,0.040,-0.001,0.594,
0.080,0.042,-0.026,0.564,
0.094,0.044,-0.032,0.535,
0.107,0.045,-0.022,0.506,
0.123,0.047,-0.031,0.478,
0.137,0.049,-0.022,0.452,
0.150,0.051,0.009,0.426,
0.164,0.055,0.021,0.402,
0.179,0.059,0.010,0.378,
0.195,0.063,-0.014,0.356,
0.209,0.068,-0.013,0.335,
0.224,0.074,-0.014,0.315,
0.236,0.079,0.005,0.296,
0.245,0.082,0.047,0.279,
0.255,0.084,0.061,0.262,
0.262,0.086,0.093,0.247,
0.272,0.089,0.072,0.233,
0.280,0.091,0.069,0.220,
0.288,0.093,0.050,0.209,
0.296,0.096,0.009,0.198,
0.301,0.099,0.014,0.189,
0.305,0.101,-0.014,0.180,
0.309,0.104,-0.030,0.173,
0.311,0.108,-0.070,0.167,
0.311,0.112,-0.084,0.162,
0.309,0.114,-0.119,0.158,
0.307,0.117,-0.148,0.155,
0.303,0.119,-0.184,0.153,
0.298,0.121,-0.207,0.152,
0.292,0.124,-0.226,0.152,
0.286,0.125,-0.188,0.152,
0.280,0.127,-0.155,0.154,
0.273,0.129,-0.139,0.156,
0.264,0.131,-0.157,0.159,
0.257,0.130,-0.124,0.162,
0.248,0.130,-0.122,0.165,
0.239,0.129,-0.090,0.170,
0.229,0.127,-0.102,0.175,
0.221,0.126,-0.080,0.180,
0.213,0.124,-0.037,0.185,
0.204,0.122,-0.038,0.191,
0.194,0.119,-0.044,0.198,
0.186,0.116,-0.023,0.204,
0.179,0.113,-0.009,0.211,
0.171,0.109,-0.030,0.217,
0.164,0.105,-0.051,0.224,
0.158,0.102,-0.041,0.231,
0.152,0.098,-0.033,0.238,
0.146,0.096,-0.041,0.245,
0.140,0.093,-0.064,0.252,
0.133,0.089,-0.085,0.259,
0.128,0.086,-0.088,0.265,
0.124,0.082,-0.066,0.272,
0.119,0.078,-0.051,0.278,
0.114,0.074,-0.049,0.284,
0.108,0.070,-0.053,0.290,
0.102,0.068,-0.064,0.296,
0.096,0.065,-0.063,0.301,
0.090,0.062,-0.073,0.306,
0.086,0.058,-0.079,0.310,
0.082,0.055,-0.056,0.314,
0.077,0.054,-0.042,0.318,
0.072,0.052,-0.049,0.322,
0.068,0.052,-0.059,0.325,
0.063,0.050,-0.060,0.328,
0.059,0.049,-0.073,0.330,
0.054,0.047,-0.074,0.332,
0.050,0.046,-0.076,0.333,
0.045,0.046,-0.073,0.334,
0.040,0.045,-0.082,0.335,
0.034,0.045,-0.085,0.335,
0.029,0.044,-0.105,0.335,
0.026,0.044,-0.104,0.335,
0.022,0.043,-0.122,0.334,
0.018,0.043,-0.102,0.333,
